sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,INSDC_Pf8,INSDC_GenRe_GRC1,INSDC_GenRe_GRC2,INSDC_GenRe_SPEC
RCN13455,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625988,ERR14390427,ERR14390428,ERR14390429
RCN13462,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625994,ERR14390445,ERR14390446,ERR14390447
RCN13466,Laos,AmpSeqV1,Sensitive,Resistant,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625998,ERR14390454,ERR14390455,ERR14390456
RCN13468,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626000,ERR14390460,ERR14390461,ERR14390462
RCN13474,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626006,ERR14390478,ERR14390479,ERR14390480
RCN13475,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626007,ERR14390481,ERR14390482,ERR14390483
RCN13476,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626008,ERR14390484,ERR14390485,ERR14390486
RCN13479,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626011,ERR14390493,ERR14390494,ERR14390495
RCN13480,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626012,ERR14390496,ERR14390497,ERR14390498
RCN13482,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626014,ERR14390502,ERR14390503,ERR14390504
RCN13487,Laos,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626019,ERR14390517,ERR14390518,ERR14390519
RCN13488,Laos,AmpSeqV1,Sensitive,Resistant,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626020,ERR14390520,ERR14390521,ERR14390522
RCN13495,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626027,ERR14390541,ERR14390542,ERR14390543
RCN13501,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626033,ERR14390559,ERR14390560,ERR14390561
RCN13503,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626035,ERR14390565,ERR14390566,ERR14390567
RCN13505,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626036,ERR14390571,ERR14390572,ERR14390573
RCN13507,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626038,ERR14390577,ERR14390578,ERR14390579
RCN13508,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626039,ERR14390580,ERR14390581,ERR14390582
RCN13512,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626042,ERR14390589,ERR14390590,ERR14390591
RCN13540,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626067,ERR14390667,ERR14390668,ERR14390669
RCN13542,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626069,ERR14390673,ERR14390674,ERR14390675
RCN13545,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626072,ERR14390682,ERR14390683,ERR14390684
RCN13548,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626075,ERR14390688,ERR14390689,ERR14390690
RCN13549,Laos,AmpSeqV1,Sensitive,Resistant,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15626076,ERR14390691,ERR14390692,ERR14390693
RCN13554,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626081,ERR14390703,ERR14390704,ERR14390705
RCN13557,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15626084,ERR14390712,ERR14390713,ERR14390714
