sample,sample_accession,library_name,experiment_accession,run_accession
RCN14717,SAMEA120052219,RCN14717_WGS,ERX15023620,ERR15626549
RCN14721,SAMEA120052222,RCN14721_WGS,ERX15023623,ERR15626552
RCN14729,SAMEA120052229,RCN14729_WGS,ERX15023630,ERR15626559
RCN14674,SAMEA120052188,RCN14674_WGS,ERX15023589,ERR15626518
RCN14738,SAMEA120052234,RCN14738_WGS,ERX15023635,ERR15626564
RCN14666,SAMEA120052184,RCN14666_WGS,ERX15023585,ERR15626514
RCN14696,SAMEA120052203,RCN14696_WGS,ERX15023604,ERR15626533
RCN14714,SAMEA120052216,RCN14714_WGS,ERX15023617,ERR15626546
RCN14728,SAMEA120052228,RCN14728_WGS,ERX15023629,ERR15626558
RCN14733,SAMEA120052233,RCN14733_WGS,ERX15023634,ERR15626563
RCN14672,SAMEA120052186,RCN14672_WGS,ERX15023587,ERR15626516
RCN14685,SAMEA120052197,RCN14685_WGS,ERX15023598,ERR15626527
RCN14688,SAMEA120052198,RCN14688_WGS,ERX15023599,ERR15626528
RCN14699,SAMEA120052206,RCN14699_WGS,ERX15023607,ERR15626536
RCN14701,SAMEA120052208,RCN14701_WGS,ERX15023609,ERR15626538
RCN14706,SAMEA120052210,RCN14706_WGS,ERX15023611,ERR15626540
RCN14707,SAMEA120052211,RCN14707_WGS,ERX15023612,ERR15626541
RCN14725,SAMEA120052226,RCN14725_WGS,ERX15023627,ERR15626556
RCN14731,SAMEA120052231,RCN14731_WGS,ERX15023632,ERR15626561
RCN14741,SAMEA120052237,RCN14741_WGS,ERX15023638,ERR15626567
RCN14744,SAMEA120052238,RCN14744_WGS,ERX15023639,ERR15626568
RCN14689,SAMEA120052199,RCN14689_WGS,ERX15023601,ERR15626530
RCN14709,SAMEA120052213,RCN14709_WGS,ERX15023614,ERR15626543
RCN14677,SAMEA120052191,RCN14677_WGS,ERX15023592,ERR15626521
RCN14683,SAMEA120052195,RCN14683_WGS,ERX15023596,ERR15626525
RCN14663,SAMEA120052181,RCN14663_WGS,ERX15023582,ERR15626511
RCN14698,SAMEA120052205,RCN14698_WGS,ERX15023606,ERR15626535
RCN14705,SAMEA120052209,RCN14705_WGS,ERX15023610,ERR15626539
RCN14756,SAMEA120052246,RCN14756_WGS,ERX15023647,ERR15626576
RCN14762,SAMEA120052249,RCN14762_WGS,ERX15023650,ERR15626579
RCN14839,SAMEA120052278,RCN14839_WGS,ERX15023679,ERR15626608
RCN14919,SAMEA120052297,RCN14919_WGS,ERX15023698,ERR15626627
RCN14928,SAMEA120052305,RCN14928_WGS,ERX15023706,ERR15626635
RCN14835,SAMEA120052277,RCN14835_WGS,ERX15023678,ERR15626607
RCN14841,SAMEA120052280,RCN14841_WGS,ERX15023681,ERR15626610
RCN14927,SAMEA120052304,RCN14927_WGS,ERX15023705,ERR15626634
RCN14753,SAMEA120052243,RCN14753_WGS,ERX15023644,ERR15626573
RCN14752,SAMEA120052242,RCN14752_WGS,ERX15023643,ERR15626572
RCN14811,SAMEA120052269,RCN14811_WGS,ERX15023670,ERR15626599
RCN14770,SAMEA120052252,RCN14770_WGS,ERX15023653,ERR15626582
RCN14794,SAMEA120052260,RCN14794_WGS,ERX15023661,ERR15626590
RCN14814,SAMEA120052270,RCN14814_WGS,ERX15023671,ERR15626600
RCN14847,SAMEA120052282,RCN14847_WGS,ERX15023683,ERR15626612
RCN14850,SAMEA120052285,RCN14850_WGS,ERX15023686,ERR15626615
RCN14916,SAMEA120052294,RCN14916_WGS,ERX15023695,ERR15626624
RCN14918,SAMEA120052296,RCN14918_WGS,ERX15023696,ERR15626625
RCN14771,SAMEA120052253,RCN14771_WGS,ERX15023654,ERR15626583
RCN14777,SAMEA120052255,RCN14777_WGS,ERX15023656,ERR15626585
RCN14819,SAMEA120052274,RCN14819_WGS,ERX15023675,ERR15626604
RCN14827,SAMEA120052275,RCN14827_WGS,ERX15023676,ERR15626605
RCN14848,SAMEA120052283,RCN14848_WGS,ERX15023684,ERR15626613
RCN14921,SAMEA120052299,RCN14921_WGS,ERX15023700,ERR15626629
RCN14754,SAMEA120052244,RCN14754_WGS,ERX15023645,ERR15626574
RCN14760,SAMEA120052248,RCN14760_WGS,ERX15023649,ERR15626578
RCN14787,SAMEA120052259,RCN14787_WGS,ERX15023659,ERR15626588
RCN14799,SAMEA120052262,RCN14799_WGS,ERX15023663,ERR15626592
RCN14800,SAMEA120052263,RCN14800_WGS,ERX15023664,ERR15626593
RCN14840,SAMEA120052279,RCN14840_WGS,ERX15023680,ERR15626609
RCN14913,SAMEA120052292,RCN14913_WGS,ERX15023693,ERR15626622
RCN14795,SAMEA120052261,RCN14795_WGS,ERX15023662,ERR15626591
RCN14807,SAMEA120052266,RCN14807_WGS,ERX15023667,ERR15626596
RCN14834,SAMEA120052276,RCN14834_WGS,ERX15023677,ERR15626606
RCN14904,SAMEA120052287,RCN14904_WGS,ERX15023688,ERR15626617
RCN14925,SAMEA120052302,RCN14925_WGS,ERX15023703,ERR15626632
RCN14926,SAMEA120052303,RCN14926_WGS,ERX15023704,ERR15626633
RCN14757,SAMEA120052247,RCN14757_WGS,ERX15023648,ERR15626577
RCN14802,SAMEA120052264,RCN14802_WGS,ERX15023665,ERR15626594
RCN14803,SAMEA120052265,RCN14803_WGS,ERX15023666,ERR15626595
RCN14810,SAMEA120052268,RCN14810_WGS,ERX15023669,ERR15626598
RCN14843,SAMEA120052281,RCN14843_WGS,ERX15023682,ERR15626611
RCN14849,SAMEA120052284,RCN14849_WGS,ERX15023685,ERR15626614
RCN14906,SAMEA120052288,RCN14906_WGS,ERX15023689,ERR15626618
RCN14912,SAMEA120052291,RCN14912_WGS,ERX15023692,ERR15626621
RCN14915,SAMEA120052293,RCN14915_WGS,ERX15023694,ERR15626623
RCN14763,SAMEA120052250,RCN14763_WGS,ERX15023651,ERR15626580
RCN14766,SAMEA120052251,RCN14766_WGS,ERX15023652,ERR15626581
RCN14816,SAMEA120052272,RCN14816_WGS,ERX15023673,ERR15626602
RCN14818,SAMEA120052273,RCN14818_WGS,ERX15023674,ERR15626603
RCN15006,SAMEA120052365,RCN15006_WGS,ERX15023766,ERR15626695
RCN15037,SAMEA120052395,RCN15037_WGS,ERX15023796,ERR15626725
RCN15070,SAMEA120052424,RCN15070_WGS,ERX15023825,ERR15626754
RCN15184,SAMEA120052516,RCN15184_WGS,ERX15023917,ERR15626846
RCN15197,SAMEA120052529,RCN15197_WGS,ERX15023930,ERR15626859
RCN14938,SAMEA120052314,RCN14938_WGS,ERX15023715,ERR15626644
