sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,S-P,S-P-IPTp
RCN13540,Laos,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Undetermined
RCN13542,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13545,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13548,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Sensitive
RCN13549,Laos,AmpSeqV1,Sensitive,Resistant,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive
RCN13554,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13557,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13558,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13561,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13562,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13564,Laos,AmpSeqV1,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Resistant,Sensitive
RCN13567,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13568,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13570,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13580,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN13581,Laos,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN14197,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN14210,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Undetermined
RCN14217,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive
RCN14220,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN14222,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN14223,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN14226,Vietnam,AmpSeqV2,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined
RCN14233,Vietnam,AmpSeqV2,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Undetermined
RCN14234,Vietnam,AmpSeqV2,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive
